dish_id,restaurant_id,restaurant_name,dish_name,cuisine,price,spice_level,dietary,rating,city,delivery_time_min,description
11,3,Grand Table #3,Crispy Sprout Salad,Healthy Food,99,spicy,veg,3.8,Pune,52,"Crispy Sprout Salad - a spicy healthy food dish, veg, priced at Rs.99. Served at Grand Table #3 in Pune, rated 3.8 stars."
12,3,Grand Table #3,Tangy Grilled Tofu Bowl,Healthy Food,99,spicy,jain,3.8,Pune,52,"Tangy Grilled Tofu Bowl - a spicy healthy food dish, jain, priced at Rs.99. Served at Grand Table #3 in Pune, rated 3.8 stars."
13,4,Royal Table #4,Fiery Pav Bhaji,Street Food,99,mild,veg,3.6,Hyderabad,28,"Fiery Pav Bhaji - a mild street food dish, veg, priced at Rs.99. Served at Royal Table #4 in Hyderabad, rated 3.6 stars."
14,4,Royal Table #4,Tangy Paneer Tikka,North Indian,399,very spicy,veg,3.6,Hyderabad,28,"Tangy Paneer Tikka - a very spicy north indian dish, veg, priced at Rs.399. Served at Royal Table #4 in Hyderabad, rated 3.6 stars."
15,4,Royal Table #4,Loaded Paneer Tikka,North Indian,129,mild,non-veg,3.6,Hyderabad,28,"Loaded Paneer Tikka - a mild north indian dish, non-veg, priced at Rs.129. Served at Royal Table #4 in Hyderabad, rated 3.6 stars."
16,4,Royal Table #4,Fiery Rogan Josh,North Indian,129,mild,jain,3.6,Hyderabad,28,"Fiery Rogan Josh - a mild north indian dish, jain, priced at Rs.129. Served at Royal Table #4 in Hyderabad, rated 3.6 stars."
17,5,Urban Kitchen #5,Grilled Curd Rice,South Indian,179,medium,vegan,4.6,Bangalore,17,"Grilled Curd Rice - a medium south indian dish, vegan, priced at Rs.179. Served at Urban Kitchen #5 in Bangalore, rated 4.6 stars."
18,5,Urban Kitchen #5,Grilled Pani Puri,Street Food,249,medium,jain,4.6,Bangalore,17,"Grilled Pani Puri - a medium street food dish, jain, priced at Rs.249. Served at Urban Kitchen #5 in Bangalore, rated 4.6 stars."
19,5,Urban Kitchen #5,Cheesy Masala Dosa,South Indian,249,mild,veg,4.6,Bangalore,17,"Cheesy Masala Dosa - a mild south indian dish, veg, priced at Rs.249. Served at Urban Kitchen #5 in Bangalore, rated 4.6 stars."
20,5,Urban Kitchen #5,Spicy Pav Bhaji,Street Food,299,spicy,vegan,4.6,Bangalore,17,"Spicy Pav Bhaji - a spicy street food dish, vegan, priced at Rs.299. Served at Urban Kitchen #5 in Bangalore, rated 4.6 stars."
21,6,Urban Kitchen #6,Classic Masala Dosa,South Indian,129,spicy,non-veg,3.6,Pune,51,"Classic Masala Dosa - a spicy south indian dish, non-veg, priced at Rs.129. Served at Urban Kitchen #6 in Pune, rated 3.6 stars."
22,6,Urban Kitchen #6,Grilled Masala Dosa,South Indian,249,medium,veg,3.6,Pune,51,"Grilled Masala Dosa - a medium south indian dish, veg, priced at Rs.249. Served at Urban Kitchen #6 in Pune, rated 3.6 stars."
23,6,Urban Kitchen #6,Classic Soup,Continental,149,very spicy,jain,3.6,Pune,51,"Classic Soup - a very spicy continental dish, jain, priced at Rs.149. Served at Urban Kitchen #6 in Pune, rated 3.6 stars."
24,6,Urban Kitchen #6,Tangy Idli Sambar,South Indian,129,very spicy,veg,3.6,Pune,51,"Tangy Idli Sambar - a very spicy south indian dish, veg, priced at Rs.129. Served at Urban Kitchen #6 in Pune, rated 3.6 stars."
25,7,The Kitchen #7,Spicy Grilled Tofu Bowl,Healthy Food,179,mild,vegan,3.4,Jamshedpur,20,"Spicy Grilled Tofu Bowl - a mild healthy food dish, vegan, priced at Rs.179. Served at The Kitchen #7 in Jamshedpur, rated 3.4 stars."
26,7,The Kitchen #7,Homestyle Smoothie Bowl,Healthy Food,399,very spicy,vegan,3.4,Jamshedpur,20,"Homestyle Smoothie Bowl - a very spicy healthy food dish, vegan, priced at Rs.399. Served at The Kitchen #7 in Jamshedpur, rated 3.4 stars."
27,7,The Kitchen #7,Loaded Grilled Tofu Bowl,Healthy Food,249,mild,vegan,3.4,Jamshedpur,20,"Loaded Grilled Tofu Bowl - a mild healthy food dish, vegan, priced at Rs.249. Served at The Kitchen #7 in Jamshedpur, rated 3.4 stars."
28,7,The Kitchen #7,Classic Quinoa Salad,Healthy Food,299,very spicy,jain,3.4,Jamshedpur,20,"Classic Quinoa Salad - a very spicy healthy food dish, jain, priced at Rs.299. Served at The Kitchen #7 in Jamshedpur, rated 3.4 stars."
29,8,Urban House #8,Tangy Uttapam,South Indian,349,very spicy,vegan,4.2,Hyderabad,25,"Tangy Uttapam - a very spicy south indian dish, vegan, priced at Rs.349. Served at Urban House #8 in Hyderabad, rated 4.2 stars."
30,8,Urban House #8,Roasted Masala Dosa,South Indian,299,mild,jain,4.2,Hyderabad,25,"Roasted Masala Dosa - a mild south indian dish, jain, priced at Rs.299. Served at Urban House #8 in Hyderabad, rated 4.2 stars."
31,8,Urban House #8,Loaded Curd Rice,South Indian,249,mild,veg,4.2,Hyderabad,25,"Loaded Curd Rice - a mild south indian dish, veg, priced at Rs.249. Served at Urban House #8 in Hyderabad, rated 4.2 stars."
32,8,Urban House #8,Loaded Uttapam,South Indian,349,very spicy,non-veg,4.2,Hyderabad,25,"Loaded Uttapam - a very spicy south indian dish, non-veg, priced at Rs.349. Served at Urban House #8 in Hyderabad, rated 4.2 stars."
33,9,Grand House #9,Fiery Lasagna,Italian,99,spicy,jain,4.8,Jamshedpur,53,"Fiery Lasagna - a spicy italian dish, jain, priced at Rs.99. Served at Grand House #9 in Jamshedpur, rated 4.8 stars."
34,9,Grand House #9,Creamy Margherita Pizza,Italian,299,spicy,non-veg,4.8,Jamshedpur,53,"Creamy Margherita Pizza - a spicy italian dish, non-veg, priced at Rs.299. Served at Grand House #9 in Jamshedpur, rated 4.8 stars."
35,9,Grand House #9,Grilled Mutton Biryani,Biryani,349,mild,non-veg,4.8,Jamshedpur,53,"Grilled Mutton Biryani - a mild biryani dish, non-veg, priced at Rs.349. Served at Grand House #9 in Jamshedpur, rated 4.8 stars."
36,9,Grand House #9,Steamed Mutton Biryani,Biryani,249,spicy,jain,4.8,Jamshedpur,53,"Steamed Mutton Biryani - a spicy biryani dish, jain, priced at Rs.249. Served at Grand House #9 in Jamshedpur, rated 4.8 stars."
37,10,Royal Corner #10,Grilled Margherita Pizza,Italian,149,very spicy,vegan,3.5,Hyderabad,35,"Grilled Margherita Pizza - a very spicy italian dish, vegan, priced at Rs.149. Served at Royal Corner #10 in Hyderabad, rated 3.5 stars."
38,10,Royal Corner #10,Creamy Sandwich,Continental,149,spicy,jain,3.5,Hyderabad,35,"Creamy Sandwich - a spicy continental dish, jain, priced at Rs.149. Served at Royal Corner #10 in Hyderabad, rated 3.5 stars."
39,10,Royal Corner #10,Crispy Steak,Continental,129,mild,non-veg,3.5,Hyderabad,35,"Crispy Steak - a mild continental dish, non-veg, priced at Rs.129. Served at Royal Corner #10 in Hyderabad, rated 3.5 stars."
40,10,Royal Corner #10,Homestyle Soup,Continental,399,mild,vegan,3.5,Hyderabad,35,"Homestyle Soup - a mild continental dish, vegan, priced at Rs.399. Served at Royal Corner #10 in Hyderabad, rated 3.5 stars."
41,11,The House #11,Crispy Garlic Bread,Italian,199,very spicy,non-veg,3.5,Hyderabad,51,"Crispy Garlic Bread - a very spicy italian dish, non-veg, priced at Rs.199. Served at The House #11 in Hyderabad, rated 3.5 stars."
42,11,The House #11,Creamy Pasta Alfredo,Italian,349,medium,jain,3.5,Hyderabad,51,"Creamy Pasta Alfredo - a medium italian dish, jain, priced at Rs.349. Served at The House #11 in Hyderabad, rated 3.5 stars."
43,11,The House #11,Steamed Lasagna,Italian,249,mild,vegan,3.5,Hyderabad,51,"Steamed Lasagna - a mild italian dish, vegan, priced at Rs.249. Served at The House #11 in Hyderabad, rated 3.5 stars."
44,11,The House #11,Roasted Pasta Alfredo,Italian,149,spicy,non-veg,3.5,Hyderabad,51,"Roasted Pasta Alfredo - a spicy italian dish, non-veg, priced at Rs.149. Served at The House #11 in Hyderabad, rated 3.5 stars."
45,12,Urban Corner #12,Tangy Mutton Biryani,Biryani,179,very spicy,veg,3.9,Jamshedpur,23,"Tangy Mutton Biryani - a very spicy biryani dish, veg, priced at Rs.179. Served at Urban Corner #12 in Jamshedpur, rated 3.9 stars."
46,12,Urban Corner #12,Grilled Risotto,Italian,249,very spicy,non-veg,3.9,Jamshedpur,23,"Grilled Risotto - a very spicy italian dish, non-veg, priced at Rs.249. Served at Urban Corner #12 in Jamshedpur, rated 3.9 stars."
47,12,Urban Corner #12,Creamy Croissant,Bakery,199,very spicy,jain,3.9,Jamshedpur,23,"Creamy Croissant - a very spicy bakery dish, jain, priced at Rs.199. Served at Urban Corner #12 in Jamshedpur, rated 3.9 stars."
48,12,Urban Corner #12,Homestyle Bagel,Bakery,129,medium,vegan,3.9,Jamshedpur,23,"Homestyle Bagel - a medium bakery dish, vegan, priced at Rs.129. Served at Urban Corner #12 in Jamshedpur, rated 3.9 stars."
49,13,Cafe Junction #13,Fiery Oats Bowl,Healthy Food,399,spicy,non-veg,4.4,Bangalore,52,"Fiery Oats Bowl - a spicy healthy food dish, non-veg, priced at Rs.399. Served at Cafe Junction #13 in Bangalore, rated 4.4 stars."
50,13,Cafe Junction #13,Homestyle Grilled Tofu Bowl,Healthy Food,399,mild,veg,4.4,Bangalore,52,"Homestyle Grilled Tofu Bowl - a mild healthy food dish, veg, priced at Rs.399. Served at Cafe Junction #13 in Bangalore, rated 4.4 stars."
51,13,Cafe Junction #13,Tangy Sprout Salad,Healthy Food,149,spicy,non-veg,4.4,Bangalore,52,"Tangy Sprout Salad - a spicy healthy food dish, non-veg, priced at Rs.149. Served at Cafe Junction #13 in Bangalore, rated 4.4 stars."
52,13,Cafe Junction #13,Loaded Smoothie Bowl,Healthy Food,129,spicy,non-veg,4.4,Bangalore,52,"Loaded Smoothie Bowl - a spicy healthy food dish, non-veg, priced at Rs.129. Served at Cafe Junction #13 in Bangalore, rated 4.4 stars."
53,14,Royal Junction #14,Steamed Pasta Alfredo,Italian,199,mild,non-veg,3.2,Hyderabad,22,"Steamed Pasta Alfredo - a mild italian dish, non-veg, priced at Rs.199. Served at Royal Junction #14 in Hyderabad, rated 3.2 stars."
54,14,Royal Junction #14,Steamed Mutton Biryani,Biryani,249,mild,veg,3.2,Hyderabad,22,"Steamed Mutton Biryani - a mild biryani dish, veg, priced at Rs.249. Served at Royal Junction #14 in Hyderabad, rated 3.2 stars."
55,14,Royal Junction #14,Steamed Chicken Biryani,Biryani,199,medium,jain,3.2,Hyderabad,22,"Steamed Chicken Biryani - a medium biryani dish, jain, priced at Rs.199. Served at Royal Junction #14 in Hyderabad, rated 3.2 stars."
56,14,Royal Junction #14,Steamed Egg Biryani,Biryani,399,spicy,vegan,3.2,Hyderabad,22,"Steamed Egg Biryani - a spicy biryani dish, vegan, priced at Rs.399. Served at Royal Junction #14 in Hyderabad, rated 3.2 stars."
57,15,Royal Table #15,Steamed Muffin,Bakery,299,spicy,jain,4.1,Hyderabad,39,"Steamed Muffin - a spicy bakery dish, jain, priced at Rs.299. Served at Royal Table #15 in Hyderabad, rated 4.1 stars."
58,15,Royal Table #15,Tangy Croissant,Bakery,349,very spicy,jain,4.1,Hyderabad,39,"Tangy Croissant - a very spicy bakery dish, jain, priced at Rs.349. Served at Royal Table #15 in Hyderabad, rated 4.1 stars."
59,15,Royal Table #15,Classic Muffin,Bakery,149,spicy,vegan,4.1,Hyderabad,39,"Classic Muffin - a spicy bakery dish, vegan, priced at Rs.149. Served at Royal Table #15 in Hyderabad, rated 4.1 stars."
60,15,Royal Table #15,Tangy Bagel,Bakery,249,mild,vegan,4.1,Hyderabad,39,"Tangy Bagel - a mild bakery dish, vegan, priced at Rs.249. Served at Royal Table #15 in Hyderabad, rated 4.1 stars."
61,16,Cafe Kitchen #16,Creamy Milkshake,Beverages,199,very spicy,non-veg,4.4,Jamshedpur,36,"Creamy Milkshake - a very spicy beverages dish, non-veg, priced at Rs.199. Served at Cafe Kitchen #16 in Jamshedpur, rated 4.4 stars."
62,16,Cafe Kitchen #16,Spicy Mango Lassi,Beverages,199,very spicy,jain,4.4,Jamshedpur,36,"Spicy Mango Lassi - a very spicy beverages dish, jain, priced at Rs.199. Served at Cafe Kitchen #16 in Jamshedpur, rated 4.4 stars."
63,16,Cafe Kitchen #16,Classic Cold Coffee,Beverages,249,medium,non-veg,4.4,Jamshedpur,36,"Classic Cold Coffee - a medium beverages dish, non-veg, priced at Rs.249. Served at Cafe Kitchen #16 in Jamshedpur, rated 4.4 stars."
64,16,Cafe Kitchen #16,Fiery Soup,Continental,349,spicy,jain,4.4,Jamshedpur,36,"Fiery Soup - a spicy continental dish, jain, priced at Rs.349. Served at Cafe Kitchen #16 in Jamshedpur, rated 4.4 stars."
65,17,Urban Bites #17,Homestyle Cheese Burger,Fast Food,399,very spicy,non-veg,3.0,Hyderabad,47,"Homestyle Cheese Burger - a very spicy fast food dish, non-veg, priced at Rs.399. Served at Urban Bites #17 in Hyderabad, rated 3.0 stars."
66,17,Urban Bites #17,Classic Hot Dog,Fast Food,99,mild,vegan,3.0,Hyderabad,47,"Classic Hot Dog - a mild fast food dish, vegan, priced at Rs.99. Served at Urban Bites #17 in Hyderabad, rated 3.0 stars."
67,17,Urban Bites #17,Steamed Hot Dog,Fast Food,349,spicy,veg,3.0,Hyderabad,47,"Steamed Hot Dog - a spicy fast food dish, veg, priced at Rs.349. Served at Urban Bites #17 in Hyderabad, rated 3.0 stars."
68,17,Urban Bites #17,Tangy Nuggets,Fast Food,199,spicy,jain,3.0,Hyderabad,47,"Tangy Nuggets - a spicy fast food dish, jain, priced at Rs.199. Served at Urban Bites #17 in Hyderabad, rated 3.0 stars."
69,18,The Table #18,Homestyle Grilled Chicken,Continental,99,medium,vegan,4.6,Bangalore,24,"Homestyle Grilled Chicken - a medium continental dish, vegan, priced at Rs.99. Served at The Table #18 in Bangalore, rated 4.6 stars."
70,18,The Table #18,Homestyle Grilled Chicken,Continental,399,very spicy,vegan,4.6,Bangalore,24,"Homestyle Grilled Chicken - a very spicy continental dish, vegan, priced at Rs.399. Served at The Table #18 in Bangalore, rated 4.6 stars."
71,18,The Table #18,Creamy Caesar Salad,Continental,299,spicy,vegan,4.6,Bangalore,24,"Creamy Caesar Salad - a spicy continental dish, vegan, priced at Rs.299. Served at The Table #18 in Bangalore, rated 4.6 stars."
72,18,The Table #18,Crispy Caesar Salad,Continental,399,very spicy,veg,4.6,Bangalore,24,"Crispy Caesar Salad - a very spicy continental dish, veg, priced at Rs.399. Served at The Table #18 in Bangalore, rated 4.6 stars."
73,19,Cafe Junction #19,Tangy Pani Puri,Street Food,249,very spicy,jain,4.1,Mumbai,16,"Tangy Pani Puri - a very spicy street food dish, jain, priced at Rs.249. Served at Cafe Junction #19 in Mumbai, rated 4.1 stars."
74,19,Cafe Junction #19,Cheesy Kathi Roll,Street Food,149,spicy,vegan,4.1,Mumbai,16,"Cheesy Kathi Roll - a spicy street food dish, vegan, priced at Rs.149. Served at Cafe Junction #19 in Mumbai, rated 4.1 stars."
75,19,Cafe Junction #19,Grilled Pav Bhaji,Street Food,199,spicy,jain,4.1,Mumbai,16,"Grilled Pav Bhaji - a spicy street food dish, jain, priced at Rs.199. Served at Cafe Junction #19 in Mumbai, rated 4.1 stars."
76,19,Cafe Junction #19,Spicy Momos,Chinese,249,spicy,veg,4.1,Mumbai,16,"Spicy Momos - a spicy chinese dish, veg, priced at Rs.249. Served at Cafe Junction #19 in Mumbai, rated 4.1 stars."
77,20,Spice Bites #20,Loaded Prawn Biryani,Biryani,99,very spicy,vegan,3.5,Mumbai,20,"Loaded Prawn Biryani - a very spicy biryani dish, vegan, priced at Rs.99. Served at Spice Bites #20 in Mumbai, rated 3.5 stars."
78,20,Spice Bites #20,Grilled Chicken Biryani,Biryani,349,medium,jain,3.5,Mumbai,20,"Grilled Chicken Biryani - a medium biryani dish, jain, priced at Rs.349. Served at Spice Bites #20 in Mumbai, rated 3.5 stars."
79,20,Spice Bites #20,Spicy Mutton Biryani,Biryani,129,medium,veg,3.5,Mumbai,20,"Spicy Mutton Biryani - a medium biryani dish, veg, priced at Rs.129. Served at Spice Bites #20 in Mumbai, rated 3.5 stars."
80,20,Spice Bites #20,Homestyle Veg Biryani,Biryani,149,very spicy,non-veg,3.5,Mumbai,20,"Homestyle Veg Biryani - a very spicy biryani dish, non-veg, priced at Rs.149. Served at Spice Bites #20 in Mumbai, rated 3.5 stars."
81,21,Royal Bites #21,Grilled Curd Rice,South Indian,349,mild,non-veg,3.9,Jamshedpur,31,"Grilled Curd Rice - a mild south indian dish, non-veg, priced at Rs.349. Served at Royal Bites #21 in Jamshedpur, rated 3.9 stars."
82,21,Royal Bites #21,Cheesy Caesar Salad,Continental,249,very spicy,jain,3.9,Jamshedpur,31,"Cheesy Caesar Salad - a very spicy continental dish, jain, priced at Rs.249. Served at Royal Bites #21 in Jamshedpur, rated 3.9 stars."
83,21,Royal Bites #21,Fiery Idli Sambar,South Indian,399,spicy,vegan,3.9,Jamshedpur,31,"Fiery Idli Sambar - a spicy south indian dish, vegan, priced at Rs.399. Served at Royal Bites #21 in Jamshedpur, rated 3.9 stars."
84,21,Royal Bites #21,Grilled Steak,Continental,349,medium,non-veg,3.9,Jamshedpur,31,"Grilled Steak - a medium continental dish, non-veg, priced at Rs.349. Served at Royal Bites #21 in Jamshedpur, rated 3.9 stars."
85,22,Cafe Table #22,Loaded Cheesecake,Desserts,179,spicy,vegan,3.4,Jamshedpur,40,"Loaded Cheesecake - a spicy desserts dish, vegan, priced at Rs.179. Served at Cafe Table #22 in Jamshedpur, rated 3.4 stars."
86,22,Cafe Table #22,Roasted Pasta Alfredo,Italian,349,spicy,jain,3.4,Jamshedpur,40,"Roasted Pasta Alfredo - a spicy italian dish, jain, priced at Rs.349. Served at Cafe Table #22 in Jamshedpur, rated 3.4 stars."
87,22,Cafe Table #22,Roasted Cheesecake,Desserts,199,spicy,veg,3.4,Jamshedpur,40,"Roasted Cheesecake - a spicy desserts dish, veg, priced at Rs.199. Served at Cafe Table #22 in Jamshedpur, rated 3.4 stars."
88,22,Cafe Table #22,Homestyle Risotto,Italian,299,spicy,non-veg,3.4,Jamshedpur,40,"Homestyle Risotto - a spicy italian dish, non-veg, priced at Rs.299. Served at Cafe Table #22 in Jamshedpur, rated 3.4 stars."
89,23,Cafe Corner #23,Loaded Chicken Biryani,Biryani,129,spicy,jain,3.5,Mumbai,36,"Loaded Chicken Biryani - a spicy biryani dish, jain, priced at Rs.129. Served at Cafe Corner #23 in Mumbai, rated 3.5 stars."
90,23,Cafe Corner #23,Roasted Fresh Lime Soda,Beverages,349,medium,non-veg,3.5,Mumbai,36,"Roasted Fresh Lime Soda - a medium beverages dish, non-veg, priced at Rs.349. Served at Cafe Corner #23 in Mumbai, rated 3.5 stars."
91,23,Cafe Corner #23,Cheesy Fresh Lime Soda,Beverages,199,medium,veg,3.5,Mumbai,36,"Cheesy Fresh Lime Soda - a medium beverages dish, veg, priced at Rs.199. Served at Cafe Corner #23 in Mumbai, rated 3.5 stars."
92,23,Cafe Corner #23,Crispy Iced Tea,Beverages,179,mild,non-veg,3.5,Mumbai,36,"Crispy Iced Tea - a mild beverages dish, non-veg, priced at Rs.179. Served at Cafe Corner #23 in Mumbai, rated 3.5 stars."
93,24,Cafe Bites #24,Creamy Tacos,Mexican,299,spicy,jain,3.4,Pune,55,"Creamy Tacos - a spicy mexican dish, jain, priced at Rs.299. Served at Cafe Bites #24 in Pune, rated 3.4 stars."
94,24,Cafe Bites #24,Spicy Burrito Bowl,Mexican,399,medium,jain,3.4,Pune,55,"Spicy Burrito Bowl - a medium mexican dish, jain, priced at Rs.399. Served at Cafe Bites #24 in Pune, rated 3.4 stars."
95,24,Cafe Bites #24,Steamed Quesadilla,Mexican,179,spicy,vegan,3.4,Pune,55,"Steamed Quesadilla - a spicy mexican dish, vegan, priced at Rs.179. Served at Cafe Bites #24 in Pune, rated 3.4 stars."
96,24,Cafe Bites #24,Creamy Tacos,Mexican,179,mild,non-veg,3.4,Pune,55,"Creamy Tacos - a mild mexican dish, non-veg, priced at Rs.179. Served at Cafe Bites #24 in Pune, rated 3.4 stars."
97,25,The Kitchen #25,Spicy Pasta Alfredo,Italian,299,very spicy,non-veg,3.6,Chennai,32,"Spicy Pasta Alfredo - a very spicy italian dish, non-veg, priced at Rs.299. Served at The Kitchen #25 in Chennai, rated 3.6 stars."
98,25,The Kitchen #25,Spicy Margherita Pizza,Italian,199,mild,vegan,3.6,Chennai,32,"Spicy Margherita Pizza - a mild italian dish, vegan, priced at Rs.199. Served at The Kitchen #25 in Chennai, rated 3.6 stars."
99,25,The Kitchen #25,Steamed Garlic Bread,Italian,399,very spicy,non-veg,3.6,Chennai,32,"Steamed Garlic Bread - a very spicy italian dish, non-veg, priced at Rs.399. Served at The Kitchen #25 in Chennai, rated 3.6 stars."
100,25,The Kitchen #25,Crispy Lasagna,Italian,129,spicy,non-veg,3.6,Chennai,32,"Crispy Lasagna - a spicy italian dish, non-veg, priced at Rs.129. Served at The Kitchen #25 in Chennai, rated 3.6 stars."
101,26,Royal Table #26,Steamed Sandwich,Continental,199,medium,veg,4.1,Pune,45,"Steamed Sandwich - a medium continental dish, veg, priced at Rs.199. Served at Royal Table #26 in Pune, rated 4.1 stars."
102,26,Royal Table #26,Loaded Steak,Continental,179,medium,jain,4.1,Pune,45,"Loaded Steak - a medium continental dish, jain, priced at Rs.179. Served at Royal Table #26 in Pune, rated 4.1 stars."
103,26,Royal Table #26,Classic Risotto,Italian,129,very spicy,veg,4.1,Pune,45,"Classic Risotto - a very spicy italian dish, veg, priced at Rs.129. Served at Royal Table #26 in Pune, rated 4.1 stars."
104,26,Royal Table #26,Fiery Cold Coffee,Beverages,249,medium,veg,4.1,Pune,45,"Fiery Cold Coffee - a medium beverages dish, veg, priced at Rs.249. Served at Royal Table #26 in Pune, rated 4.1 stars."
105,27,The Table #27,Crispy Filter Coffee,South Indian,349,spicy,vegan,3.7,Hyderabad,44,"Crispy Filter Coffee - a spicy south indian dish, vegan, priced at Rs.349. Served at The Table #27 in Hyderabad, rated 3.7 stars."
106,27,The Table #27,Roasted Curd Rice,South Indian,99,spicy,vegan,3.7,Hyderabad,44,"Roasted Curd Rice - a spicy south indian dish, vegan, priced at Rs.99. Served at The Table #27 in Hyderabad, rated 3.7 stars."
107,27,The Table #27,Steamed Margherita Pizza,Italian,129,very spicy,vegan,3.7,Hyderabad,44,"Steamed Margherita Pizza - a very spicy italian dish, vegan, priced at Rs.129. Served at The Table #27 in Hyderabad, rated 3.7 stars."
108,27,The Table #27,Steamed Garlic Bread,Italian,399,spicy,veg,3.7,Hyderabad,44,"Steamed Garlic Bread - a spicy italian dish, veg, priced at Rs.399. Served at The Table #27 in Hyderabad, rated 3.7 stars."
109,28,Grand Kitchen #28,Classic Sprout Salad,Healthy Food,179,medium,non-veg,3.8,Mumbai,21,"Classic Sprout Salad - a medium healthy food dish, non-veg, priced at Rs.179. Served at Grand Kitchen #28 in Mumbai, rated 3.8 stars."
110,28,Grand Kitchen #28,Fiery Muffin,Bakery,249,very spicy,jain,3.8,Mumbai,21,"Fiery Muffin - a very spicy bakery dish, jain, priced at Rs.249. Served at Grand Kitchen #28 in Mumbai, rated 3.8 stars."
111,28,Grand Kitchen #28,Crispy Grilled Tofu Bowl,Healthy Food,129,very spicy,vegan,3.8,Mumbai,21,"Crispy Grilled Tofu Bowl - a very spicy healthy food dish, vegan, priced at Rs.129. Served at Grand Kitchen #28 in Mumbai, rated 3.8 stars."
112,28,Grand Kitchen #28,Creamy Rogan Josh,North Indian,99,medium,non-veg,3.8,Mumbai,21,"Creamy Rogan Josh - a medium north indian dish, non-veg, priced at Rs.99. Served at Grand Kitchen #28 in Mumbai, rated 3.8 stars."
113,29,Royal Junction #29,Cheesy Lasagna,Italian,349,mild,non-veg,3.3,Hyderabad,32,"Cheesy Lasagna - a mild italian dish, non-veg, priced at Rs.349. Served at Royal Junction #29 in Hyderabad, rated 3.3 stars."
114,29,Royal Junction #29,Cheesy Margherita Pizza,Italian,349,mild,jain,3.3,Hyderabad,32,"Cheesy Margherita Pizza - a mild italian dish, jain, priced at Rs.349. Served at Royal Junction #29 in Hyderabad, rated 3.3 stars."
115,29,Royal Junction #29,Homestyle Risotto,Italian,349,mild,jain,3.3,Hyderabad,32,"Homestyle Risotto - a mild italian dish, jain, priced at Rs.349. Served at Royal Junction #29 in Hyderabad, rated 3.3 stars."
116,29,Royal Junction #29,Homestyle Margherita Pizza,Italian,199,mild,non-veg,3.3,Hyderabad,32,"Homestyle Margherita Pizza - a mild italian dish, non-veg, priced at Rs.199. Served at Royal Junction #29 in Hyderabad, rated 3.3 stars."
117,30,Urban Junction #30,Homestyle Margherita Pizza,Italian,249,mild,veg,3.1,Mumbai,20,"Homestyle Margherita Pizza - a mild italian dish, veg, priced at Rs.249. Served at Urban Junction #30 in Mumbai, rated 3.1 stars."
118,30,Urban Junction #30,Spicy Garlic Bread,Italian,199,very spicy,non-veg,3.1,Mumbai,20,"Spicy Garlic Bread - a very spicy italian dish, non-veg, priced at Rs.199. Served at Urban Junction #30 in Mumbai, rated 3.1 stars."
